tbl,Year,quarter,citymarketid_1,citymarketid_2,city1,city2,airportid_1,airportid_2,airport_1,airport_2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,Geocoded_City1,Geocoded_City2,tbl1apk,pax_city1,pax_city2
Table1a,2022,1,30466,30198,"Phoenix, AZ","Pittsburgh, PA",10466,14122,IWA,PIT,1814,8,67.91,G4,1,67.91,G4,1,67.91,,,202211046614122IWAPIT,973491,3918968
Table1a,2022,1,30466,30928,"Phoenix, AZ","Wichita, KS",10466,12278,IWA,ICT,870,38,95.9,G4,1,95.9,G4,1,95.9,,,202211046612278IWAICT,973491,762443
Table1a,2022,1,30466,31775,"Phoenix, AZ","Sioux Falls, SD",10466,11775,IWA,FSD,1081,394,114.11,G4,1,114.11,G4,1,114.11,,,202211046611775IWAFSD,973491,606055
Table1a,2022,1,30466,31884,"Phoenix, AZ","Spokane, WA",10466,11884,IWA,GEG,1034,29,95.71,G4,1,95.71,G4,1,95.71,,,202211046611884IWAGEG,973491,1905541
Table1a,2022,1,30466,32457,"Phoenix, AZ","San Francisco, CA (Metropolitan Area)",10466,13796,IWA,OAK,668,14,95.4,G4,1,95.4,G4,1,95.4,,,202211046613796IWAOAK,973491,5506232
Table1a,2022,1,30466,33195,"Phoenix, AZ","Tampa, FL (Metropolitan Area)",10466,15304,IWA,TPA,1788,1,392.67,SY,1,392.67,SY,1,392.67,,,202211046615304IWATPA,973491,10539459
Table1a,2022,1,30466,34314,"Phoenix, AZ","Provo, UT",10466,14314,IWA,PVU,477,216,89.84,G4,1,89.84,G4,1,89.84,,,202211046614314IWAPVU,973491,211741
Table1a,2022,1,30466,34653,"Phoenix, AZ","Tulsa, OK",10466,15370,IWA,TUL,935,12,92.4,G4,1,92.4,G4,1,92.4,,,202211046615370IWATUL,973491,1447126
Table1a,2022,2,30466,34653,"Phoenix, AZ","Tulsa, OK",10466,15370,IWA,TUL,935,0,102.5,G4,1,102.5,G4,1,102.5,,,202221046615370IWATUL,973491,1447126
Table1a,2022,2,30466,31775,"Phoenix, AZ","Sioux Falls, SD",10466,11775,IWA,FSD,1081,237,117.81,G4,1,117.81,G4,1,117.81,,,202221046611775IWAFSD,973491,606055
Table1a,2022,2,30466,31884,"Phoenix, AZ","Spokane, WA",10466,11884,IWA,GEG,1034,66,110.08,G4,1,110.08,G4,1,110.08,,,202221046611884IWAGEG,973491,1905541
Table1a,2022,2,30466,32457,"Phoenix, AZ","San Francisco, CA (Metropolitan Area)",10466,13796,IWA,OAK,668,5,107.74,G4,1,107.74,G4,1,107.74,,,202221046613796IWAOAK,973491,5506232
Table1a,2022,2,30466,33195,"Phoenix, AZ","Tampa, FL (Metropolitan Area)",10466,15304,IWA,TPA,1788,0,201,SY,1,201,SY,1,201,,,202221046615304IWATPA,973491,10539459
Table1a,2022,2,30466,33570,"Phoenix, AZ","San Diego, CA",10466,14679,IWA,SAN,324,6,72.38,G4,1,72.38,G4,1,72.38,,,202221046614679IWASAN,973491,11162224
Table1a,2022,2,30466,34314,"Phoenix, AZ","Provo, UT",10466,14314,IWA,PVU,477,264,91.14,G4,1,91.14,G4,1,91.14,,,202221046614314IWAPVU,973491,211741
