quarter,citymarketid_1,citymarketid_2,city1,city2,airportid_1,airportid_2,airport_1,airport_2,nsmiles,passengers,log_fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,pax_city1,pax_city2
0,30140,30194,"Albuquerque, NM","Dallas/Fort Worth, TX",10140,11259,1,14,580,213,5.151382258424339,11,1.0,172.67,11,1.0,172.67,2317836,7819129
0,30140,30194,"Albuquerque, NM","Dallas/Fort Worth, TX",10140,11298,1,17,580,251,5.21330399222108,1,0.9885,183.37,1,0.9885,183.37,2317836,35345138
0,30140,30466,"Albuquerque, NM","Phoenix, AZ",10140,14107,1,72,328,481,5.107943476563253,11,0.707,164.17,11,0.707,164.17,2317836,21852586
0,30140,30852,"Albuquerque, NM","Washington, DC (Metropolitan Area)",10140,10821,1,5,1670,108,5.386282455276681,11,0.5798,214.66,4,0.2049,211.95,2317836,11151169
0,30140,30852,"Albuquerque, NM","Washington, DC (Metropolitan Area)",10140,11278,1,15,1670,114,5.681536865708881,1,0.3751,304.32,11,0.3469,267.69,2317836,11553850
0,30140,30852,"Albuquerque, NM","Washington, DC (Metropolitan Area)",10140,12264,1,33,1670,38,5.8284160656576125,10,0.4566,390.85,11,0.1994,257.93,2317836,10266324
0,30140,30977,"Albuquerque, NM","Chicago, IL",10140,13232,1,52,1121,76,5.358141668193702,11,0.9941,212.51,11,0.9941,212.51,2317836,9650281
0,30140,30977,"Albuquerque, NM","Chicago, IL",10140,13930,1,65,1121,139,5.495773810926261,1,0.5441,239.45,1,0.5441,239.45,2317836,33120474
0,30140,31453,"Albuquerque, NM","Houston, TX",10140,12191,1,29,759,147,5.331220086223745,11,0.9751,204.68,11,0.9751,204.68,2317836,6462948
0,30140,31453,"Albuquerque, NM","Houston, TX",10140,12266,1,34,759,140,5.458222884057659,10,0.8568,232.95,10,0.8568,232.95,2317836,19814052
0,30140,31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",10140,11618,1,22,1861,56,5.58766055857645,1,0.3564,245.28,1,0.3564,245.28,2317836,21774690
0,30140,31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",10140,12197,1,30,1861,5,5.512823724466583,4,0.878,249.19,10,0.0976,228.75,2317836,916700
0,30140,31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",10140,12391,1,38,1861,2,5.695414224985685,11,0.5714,283.25,11,0.5714,283.25,2317836,611749
0,30140,31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",10140,12478,1,42,1861,128,5.274434426084705,3,0.8494,183.77,3,0.8494,183.77,2317836,27154885
0,30140,31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",10140,12953,1,46,1861,102,5.449964916157176,1,0.4576,231.97,11,0.2511,188.39,2317836,14367463
0,30140,32457,"Albuquerque, NM","San Francisco, CA (Metropolitan Area)",10140,13796,1,61,896,114,5.265174147954783,11,0.9443,190.92,11,0.9443,190.92,2317836,5506232
0,30140,32457,"Albuquerque, NM","San Francisco, CA (Metropolitan Area)",10140,14771,1,92,896,160,5.3518107389880365,10,0.7262,206.92,11,0.1445,201.89,2317836,20411420
0,30140,32457,"Albuquerque, NM","San Francisco, CA (Metropolitan Area)",10140,14831,1,93,896,60,5.299716387461744,11,0.7342,191.62,11,0.7342,191.62,2317836,5590137
0,30140,32575,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",10140,10800,1,4,677,89,5.085247900805301,11,0.9526,157.52,11,0.9526,157.52,2317836,3054729
0,30140,32575,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",10140,12892,1,44,677,479,5.083637893645956,4,0.367,174.54,11,0.3227,140.44,2317836,32326616
0,30140,32575,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",10140,12954,1,47,677,19,5.093320660714864,11,0.8512,157.45,11,0.8512,157.45,2317836,1600987
0,30140,32575,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",10140,13891,1,64,677,49,5.303553633343283,11,0.6957,190.94,11,0.6957,190.94,2317836,2840758
0,30140,32575,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",10140,14908,1,96,677,57,5.3231075353552555,11,0.6342,191.59,11,0.6342,191.59,2317836,5536313
0,30158,32467,"Atlantic City, NJ","Miami, FL (Metropolitan Area)",10158,11697,3,24,998,150,4.65434122999454,8,1.0,105.04,8,1.0,105.04,459272,15370165
0,30158,32467,"Atlantic City, NJ","Miami, FL (Metropolitan Area)",10158,13303,3,56,998,56,4.602466534413776,8,1.0,99.73,8,1.0,99.73,459272,23949892
0,30189,30194,"Colorado Springs, CO","Dallas/Fort Worth, TX",11109,11259,33,14,602,167,4.950035671967326,11,1.0,141.18,11,1.0,141.18,1080060,7819129
0,30189,30194,"Colorado Springs, CO","Dallas/Fort Worth, TX",11109,11298,33,17,602,167,5.253058460142421,1,0.9681,192.07,10,0.0279,169.21,1080060,35345138
0,30189,30466,"Colorado Springs, CO","Phoenix, AZ",11109,14107,33,72,551,428,4.857872539543846,11,0.8227,130.13,5,0.1436,98.02,1080060,21852586
0,30189,32575,"Colorado Springs, CO","Los Angeles, CA (Metropolitan Area)",11109,10800,33,4,833,21,5.283964860323636,11,0.8172,181.93,5,0.0108,80.0,1080060,3054729
0,30189,32575,"Colorado Springs, CO","Los Angeles, CA (Metropolitan Area)",11109,12892,33,44,833,94,5.382566598992937,10,0.6967,222.66,11,0.1967,171.03,1080060,32326616
0,30189,32575,"Colorado Springs, CO","Los Angeles, CA (Metropolitan Area)",11109,12954,33,47,833,23,4.790237968450071,11,0.8762,113.35,11,0.8762,113.35,1080060,1600987
0,30189,32575,"Colorado Springs, CO","Los Angeles, CA (Metropolitan Area)",11109,13891,33,64,833,40,5.011301738639416,11,0.7119,146.84,11,0.7119,146.84,1080060,2840758
0,30189,32575,"Colorado Springs, CO","Los Angeles, CA (Metropolitan Area)",11109,14908,33,96,833,47,5.255305475954746,11,0.6393,175.22,11,0.6393,175.22,1080060,5536313
0,30194,30198,"Dallas/Fort Worth, TX","Pittsburgh, PA",11259,14122,35,74,1067,66,5.3526161399554155,11,0.9482,211.56,4,0.0468,211.04,7819129,3918968
0,30194,30198,"Dallas/Fort Worth, TX","Pittsburgh, PA",11298,14122,39,74,1067,335,5.504396139235654,1,0.9278,247.05,10,0.0235,216.16,35345138,3918968
0,30194,30325,"Dallas/Fort Worth, TX","Denver, CO",11259,11292,35,16,651,971,5.082025290182928,11,0.9981,161.11,11,0.9981,161.11,7819129,33773832
0,30194,30325,"Dallas/Fort Worth, TX","Denver, CO",11298,11292,39,16,651,1759,5.133973242984735,1,0.5979,186.72,5,0.1745,96.33,35345138,33773832
0,30194,30436,"Dallas/Fort Worth, TX","Tucson, AZ",11259,15376,35,105,824,17,5.405106860729554,11,0.9935,222.38,11,0.9935,222.38,7819129,1699305
0,30194,30436,"Dallas/Fort Worth, TX","Tucson, AZ",11298,15376,39,105,824,202,5.627836917741397,1,0.9676,277.92,10,0.0198,252.61,35345138,1699305
0,30194,30466,"Dallas/Fort Worth, TX","Phoenix, AZ",11259,14107,35,72,879,944,5.249704686627343,11,0.9981,190.56,11,0.9981,190.56,7819129,21852586
