rating,comment_processed
0,awful service
0,not sure lost flat character audience nearly half walked
1,personally love hummus pita baklava falafel baba ganoush amazing eggplant
0,dialogue atrocious
0,still trying get bad
0,seriously not believe owner many unexperienced employee running around like chicken head cut
1,quite simply highest superlative form cinema imaginable
0,felt though going ireland absolutely nothing whatsoever
1,great place eat
0,one simply disappointment
0,plot hole
0,script look rough draft written shooting began finished script completed
1,campy sort film joy watch
0,not think going back anytime soon
1,performance awarded stunning
0,film terrible credit version watchable
1,alexander nevsky great film
1,side greek salad greek dressing tasty pita hummus refreshing
1,liked patio service outstanding
1,left theater lilt step joy heart hope human race
1,two main character may two believable child ever saw put screen
1,enjoyment get see run around play game dangerous
1,meredith better right
1,character film tremendously well played
1,dinner companion told everything fresh nice texture taste
0,woa talk awful
0,never come
0,gave trying eat crust teeth still sore
0,movie totally grate nerve
0,equally awful
0,reason eat would fill night binge drinking get carbs stomach
0,say bye bye tip lady
0,whole experience underwhelming think go ninja sushi next time
0,lucy bell much higher crap sink low quite depressing
1,picked speed got right point
0,time pyromaniac waylaid assistant bored not care happened next switched
0,one worst sandra bullock movie since speed not quite bad
1,chow mein good
0,not try going back even empty
0,sad little vegetable overcooked
1,nine ten truly lovely film
0,order not correct
0,price think place would much rather gone
1,worth checking
1,true shakespear must shakespear fan
0,favor stay away dish
1,spicy enough perfect actually
0,precisely giving bad review
1,great time family dinner sunday night
1,really nice atmosphere
1,european movie nice throwback time student experience living abroad interacting nationality although circumstance slightly different
1,could used exemplar set designer
1,waitress friendly happy accomodate vegan veggie option
0,graphic far best part game
0,one want surf small wave space movie deep impact armageddon one fails everywhere
1,mother brother saw robert ryan portraying type man good imitation type individual impressed
0,bus boy hand rude
0,friend not like bloody mary
0,possible give zero star
0,definitely would not eat
0,rest sits awful soldier singing song masculinity pledge hairsplitting purity admiration sword etc
0,kept looking time soon become minute yet still no food
0,not single employee came see ok even needed water refill finally served u food
0,avoid cost
1,truly art movie actually lot art
0,however no decent acting action location work balance thing
0,food sucked expected sucked could imagined
0,lobster bisque bussell sprout risotto filet needed salt pepper course none table
0,description said yum yum sauce another said eel sauce yet another said spicy mayo well none roll sauce
1,thought acting skilled
1,scenery two daughter paint photograph beautiful
1,trumbull love lucy
0,not recommended
0,never dining place
1,conceptually show offer little bit everything everybody parent kid fantasy fx fan
1,babie bop cute
1,star brick oven bread app
1,still set got big oy vey scale
0,left shattered experience watching film took good two hour fully recover
0,came feeling angry
0,not accountant know getting screwed
1,like really sexy party mouth outrageously flirting hottest person party
0,no real plot
0,not recommend unless car break front starving
1,seated immediately
0,glad pretentious piece not planned dodge stratus big shot gon na help movie maker not restrained movie business qu bec
0,no chemistry ben affleck sandra bullock film not understand would consider even leaving wife chick supposedly knocked
1,not watched film realised great actually
1,enjoyed
1,not beat
0,everything appalling
0,food terrible
0,server went back forth several time not even much helped
0,lame
0,glad not pay see
0,not like
0,vomited bathroom mid lunch
0,dressed treated rudely
1,excellent short film
