rating,comment_processed
0,no way plug u unless go converter
1,good case excellent value
1,great jawbone
0,tied charger conversation lasting minute major problem
1,mic great
0,jiggle plug get line right get decent volume
0,several dozen several hundred contact imagine fun sending one one
1,razr owner must
0,needle say wasted money
0,waste money time
1,sound quality great
1,impressed going original battery extended battery
0,two seperated mere ft started notice excessive static garbled sound headset
1,good quality though
0,design odd ear clip not comfortable
1,highly recommend one blue tooth phone
0,advise everyone not fooled
1,far good
1,work great
0,click place way make wonder long mechanism would last
0,went motorola website followed direction could not get pair
1,bought use kindle fire absolutely loved
0,commercial misleading
1,yet run new battery two bar three day without charging
0,bought mother problem battery
1,great pocket pc phone combination
1,owned phone month say best mobile phone
0,not think instruction provided helpful
0,people couldnt hear talk pull earphone talk phone
0,not hold charge
0,simple little phone use breakage unacceptible
1,product ideal people like whose ear sensitive
0,unusable moving car freeway speed
0,two year left contract hate phone
1,car charger well ac charger included make sure never run juice highy recommended
0,need least min get phone book time first turn phone battery life short
1,kept well
0,poor talk time performance
1,case great work fine
0,worthless product
1,great camera thats mp pic nice clear great picture quality
0,not impressed product
1,nice headset priced right
0,hear garbage audio
1,excellent bluetooth headset
1,feature want
0,right mind gon na buy battery
0,arguing verizon regarding dropped call returned phone two day
1,case seems well made
0,disappointed battery
0,not loud enough not turn like
1,good protection not make phone bulky
1,usable keyboard actually turn pda real world useful machine instead neat gadget
1,phone pretty sturdy never large problem
1,love thing
1,everything fine reasonable price e
0,disappointed
1,even dropped phone stream submerged second still work great
1,happy no complaint one regarding sound quality end
0,button bad
0,essentially forget microsoft tech support
1,really recommend faceplate since look nice elegant cool
1,headphone great find think perhaps best purchase made last several year seriously
0,buy different phone not
0,hold phone particular angle party hear clearly
0,one big drawback mp player button phone front cover let pause skip song lock second
0,week later activated suddenly died
1,feel comfortable headset wear glass get way sometimes
1,great ipod
1,device great several situation
0,mic not work
0,even bmw series fairly quiet trouble hearing person saying
1,great choice
1,nice docking station home work
1,beautiful phone
1,love product
0,not buy wrongly advertised
1,great little item
1,love phone handy lot feature
0,purchased within day no longer working
1,wear everyday hold well
0,not good bargain
1,well packaged arrived time work intended
0,battery run quickly
0,item worked great broke month use
1,headset easy use everyone love
1,phone work great
0,construction headset poor
1,product excellent work better verizon one boy cheaper
1,phone load super
0,product cost much one expect work far better greater ease thing
1,made sturdy
1,worked great
0,ear bud play music one ear
0,dont waste money
1,order
0,plan use car forget
0,found product waaay big
1,best found far tried bluetooths one best quality listener well ease using
0,disappointed decision
1,integrated seamlessly motorola razr phone
